composante_scolaire;quadrant;domaine_sensoriel;question_id;label;pour_calcul
1;EN;Traitement de l’information AUDITIVE;1;« passe à côté» des consignes orales données en classe (ou les manque) plus souvent que les élèves de son âge.;oui
1;EN;Traitement de l’information AUDITIVE;2;fait le sourde oreille ou semble m’ignorer.;oui
3;EN;Traitement de l’information AUDITIVE;3;éprouve des difficultés à accomplir ou terminer des tâches dans un environnement bruyant.;oui
2;SE;Traitement de l’information AUDITIVE;4;demande aux autres de se taire ou de faire moins de bruit.;oui
3;EV;Traitement de l’information AUDITIVE;5;montre des signes d’anxiété et/ou de détresse lors de regroupements (ex : cantine ou grand rassemblement).;oui
3;SE;Traitement de l’information AUDITIVE;6;réagit vivement aux bruits inattendus ou forts (ex : alarme incendie, livre qui heurte le sol en tombant, porte qui claque, annonce par haut-parleur, sonnerie…).;oui
3;EV;Traitement de l’information AUDITIVE;7;éprouve des difficultés à participer à des activités de groupe dans lesquelles on parle beaucoup.;oui
3;SE;Traitement de l’information VISUELLE;8;« passe à côté » des directives écrites ou des consignes comportant une démonstration (ou les manque) plus souvent que les élèves de son âge.;oui
3;SE;Traitement de l’information VISUELLE;9;éprouve des difficultés à maintenir ou organiser les affaires et le matériel utilisé tout au long de la journée.;oui
1;EN;Traitement de l’information VISUELLE;10;laisse certaines questions sans réponse sur une feuille d'informations, bien qu'il/elle connaisse les réponses.;oui
2;RE;Traitement de l’information VISUELLE;11;regarde les personnes qui se déplacent dans la pièce.;oui
2;SE;Traitement de l’information VISUELLE;12;détourne le regard de ses tâches pour observer tout ce qui se passe dans la pièce.;oui
4;EN;Traitement de l’information VISUELLE;13;manque les occasions de contact visuel avec moi au cours des interactions de tous les jours.;oui
2;RE;Traitement de l’information VISUELLE;14;est attiré·e par les écrans (ordinateur, tablette) comportant des images aux couleurs vives et brillantes ou animées avec un mouvement rapide.;oui
1;RE;Traitement de l'information TACTILE;15;s'approche trop près des autres lors de discussions en face à face.;oui
1;EN;Traitement de l'information TACTILE;16;ne semble pas remarquer que son visage ou ses mains restent sales.;oui
1;RE;Traitement de l'information TACTILE;17;touche les personnes ou les objets au point d'agacer les autres.;oui
2;RE;Traitement de l'information TACTILE;18;manifeste un besoin de toucher des objets, des surfaces ou des textures (par exemple, veut ressentir les sensations tactiles provoquées par tout ce qui l'entoure, veut toucher à tout).;oui
2;SE;Traitement de l'information TACTILE;19;veut vite s'essuyer les mains lors de tâches salissantes.;oui
2;SE;Traitement de l'information TACTILE;20;est facilement perturbé·e par des blessures bénignes (par exemple, lorsqu'il/elle se cogne à quelque chose, s'égratigne ou se coupe).;oui
3;SE;Traitement de l'information TACTILE;21;n'utilise que le bout de ses doigts lors d'activités qui demandent de la manipulation.;oui
3;EV;Traitement de l'information TACTILE;22;sursaute ou recule lorsqu'on lui touche le corps ou qu'on s'approche trop près de lui/elle.;oui
